date,PRCP,SNOW,SNWD,TMAX,TMIN,attribute_PRCP,attribute_SNOW,attribute_SNWD,attribute_TMAX,attribute_TMIN
1893-10-12T00:00:00,,,,156.0,-11.0,,,,",,6,",",,6,"
1893-10-13T00:00:00,,,,128.0,11.0,,,,",,6,",",,6,"
1893-10-14T00:00:00,,,,156.0,6.0,,,,",,6,",",,6,"
1893-10-15T00:00:00,,,,239.0,33.0,,,,",,6,",",,6,"
1893-10-16T00:00:00,,,,183.0,44.0,,,,",,6,",",,6,"
1893-10-17T00:00:00,,,,122.0,-11.0,,,,",,6,",",,6,"
1893-10-18T00:00:00,,,,128.0,6.0,,,,",,6,",",,6,"
1893-10-19T00:00:00,,,,178.0,17.0,,,,",,6,",",,6,"
1893-10-20T00:00:00,,,,172.0,33.0,,,,",,6,",",,6,"
1893-10-21T00:00:00,,,,211.0,44.0,,,,",,6,",",,6,"
1893-10-22T00:00:00,53.0,,,178.0,61.0,",,6,",,,",,6,",",,6,"
1893-10-23T00:00:00,,,,133.0,67.0,,,,",,6,",",,6,"
1893-10-24T00:00:00,,,,128.0,44.0,,,,",,6,",",,6,"
1893-10-25T00:00:00,,,,122.0,17.0,,,,",,6,",",,6,"
1893-10-26T00:00:00,,,,122.0,-22.0,,,,",,6,",",,6,"
1893-10-27T00:00:00,,,,139.0,6.0,,,,",,6,",",,6,"
1893-10-28T00:00:00,,,,161.0,0.0,,,,",,6,",",,6,"
1893-10-29T00:00:00,,,,178.0,11.0,,,,",,6,",",,6,"
1893-10-30T00:00:00,,,,183.0,56.0,,,,",,6,",",,6,"
1893-10-31T00:00:00,,,,167.0,39.0,,,,",,6,",",,6,"
1893-11-01T00:00:00,,,,106.0,,,,,",,6,",
1893-11-02T00:00:00,,,,50.0,-78.0,,,,",,6,",",,6,"
1893-11-03T00:00:00,,,,111.0,-33.0,,,,",,6,",",,6,"
1893-11-05T00:00:00,,,,,50.0,,,,,",,6,"
1893-11-06T00:00:00,,,,,56.0,,,,,",,6,"
1893-11-07T00:00:00,,,,,56.0,,,,,",,6,"
1893-11-08T00:00:00,,,,106.0,0.0,,,,",,6,",",,6,"
1893-11-09T00:00:00,,,,122.0,-6.0,,,,",,6,",",,6,"
1893-11-10T00:00:00,,,,83.0,,,,,",,6,",
1893-11-11T00:00:00,,,,83.0,,,,,",,6,",
1893-11-12T00:00:00,,,,56.0,-56.0,,,,",,6,",",,6,"
1893-11-13T00:00:00,,,,67.0,-39.0,,,,",,6,",",,6,"
1893-11-14T00:00:00,,,,72.0,-44.0,,,,",,6,",",,6,"
